2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Newton,02070000,"   5,893",  18.0,"     12,914",  48.8,  51.1,   6.0,  17.1,   9.4
Norfolk,02080000,     255,  23.7,        991,  47.2,  52.8,   2.5,  18.7,   5.5
Norfolk County Agricultural,09150000,     470,  16.0,        553,  70.5,  29.3,    .2,  19.9,  13.6
North Adams,02090000,     576,  15.0,"      1,375",  48.7,  51.4,    .8,  24.6,  62.3
North Andover,02110000,"   2,814",  20.2,"      4,696",  49.5,  50.5,   1.7,  16.6,  17.2
North Attleborough,02120000,"   1,890",  17.7,"      4,190",  48.9,  51.1,   4.4,  17.7,  18.5
North Brookfield,02150000,     170,  15.8,        542,  48.2,  51.9,    .2,  23.1,  34.5
North Middlesex,07350000,"   1,684",  19.6,"      3,136",  48.6,  51.4,   1.4,  22.7,  19.5
North Reading,02170000,"   1,298",  17.9,"      2,406",  48.7,  51.3,    .5,  16.9,   8.7
Northampton,02100000,"   1,238",  17.3,"      2,760",  48.5,  51.2,   3.4,  20.9,  27.0
